track_id,index,start_time_prefix,finish_time_last_activity
173697,1,2011-10-0108:11:07.866000+02:00,2011-10-0108:11:07.866000+02:00
173697,2,2011-10-0108:11:07.866000+02:00,2011-10-0108:11:08.866000+02:00
173697,3,2011-10-0108:11:07.866000+02:00,2011-10-0108:11:09.035000+02:00
173697,4,2011-10-0108:11:07.866000+02:00,2011-10-0108:11:46.420000+02:00
173697,5,2011-10-0108:11:07.866000+02:00,2011-10-0108:11:47.420000+02:00
173700,1,2011-10-0108:15:38.894000+02:00,2011-10-0108:15:38.894000+02:00
173700,2,2011-10-0108:15:38.894000+02:00,2011-10-0108:15:39.894000+02:00
173700,3,2011-10-0108:15:38.894000+02:00,2011-10-0108:15:40.102000+02:00
173700,4,2011-10-0108:15:38.894000+02:00,2011-10-0108:16:21.037000+02:00
173700,5,2011-10-0108:15:38.894000+02:00,2011-10-0108:16:22.037000+02:00
173703,1,2011-10-0109:45:24.806000+02:00,2011-10-0109:45:24.806000+02:00
173703,2,2011-10-0109:45:24.806000+02:00,2011-10-0109:45:25.806000+02:00
173703,3,2011-10-0109:45:24.806000+02:00,2011-10-0109:45:25.981000+02:00
173703,4,2011-10-0109:45:24.806000+02:00,2011-10-0109:46:18.211000+02:00
173703,5,2011-10-0109:45:24.806000+02:00,2011-10-0109:46:18.674000+02:00
173703,6,2011-10-0109:45:24.806000+02:00,2011-10-0111:37:46.748000+02:00
173703,7,2011-10-0109:45:24.806000+02:00,2011-10-0111:40:24.141000+02:00
173703,8,2011-10-0109:45:24.806000+02:00,2011-10-0112:40:26.958000+02:00
173703,9,2011-10-0109:45:24.806000+02:00,2011-10-0113:02:11.068000+02:00
173703,10,2011-10-0109:45:24.806000+02:00,2011-10-0113:02:12.557000+02:00
173703,11,2011-10-0109:45:24.806000+02:00,2011-10-0113:02:13.557000+02:00
173706,1,2011-10-0109:45:36.274000+02:00,2011-10-0109:45:36.274000+02:00
173706,2,2011-10-0109:45:36.274000+02:00,2011-10-0109:45:37.274000+02:00
173706,3,2011-10-0109:45:36.274000+02:00,2011-10-0109:45:37.363000+02:00
173706,4,2011-10-0109:45:36.274000+02:00,2011-10-0109:46:18.623000+02:00
173706,5,2011-10-0109:45:36.274000+02:00,2011-10-0110:15:43.883000+02:00
173706,6,2011-10-0109:45:36.274000+02:00,2011-10-0110:16:48.956000+02:00
173706,7,2011-10-0109:45:36.274000+02:00,2011-10-0110:16:48.991000+02:00
173706,8,2011-10-0109:45:36.274000+02:00,2011-10-0110:16:49.843000+02:00
173706,9,2011-10-0109:45:36.274000+02:00,2011-10-0111:49:28.183000+02:00
173706,10,2011-10-0109:45:36.274000+02:00,2011-10-0111:50:14.483000+02:00
173706,11,2011-10-0109:45:36.274000+02:00,2011-10-0111:50:21.451000+02:00
173706,12,2011-10-0109:45:36.274000+02:00,2011-10-0111:53:55.769000+02:00
173706,13,2011-10-0109:45:36.274000+02:00,2011-10-0114:50:26.172000+02:00
173706,14,2011-10-0109:45:36.274000+02:00,2011-10-0114:59:58.557000+02:00
173706,15,2011-10-0109:45:36.274000+02:00,2011-10-0115:00:02.537000+02:00
173706,16,2011-10-0109:45:36.274000+02:00,2011-10-0115:00:03.537000+02:00
173709,1,2011-10-0109:57:41.994000+02:00,2011-10-0109:57:41.994000+02:00
173709,2,2011-10-0109:57:41.994000+02:00,2011-10-0109:57:42.994000+02:00
173709,3,2011-10-0109:57:41.994000+02:00,2011-10-0109:57:43.182000+02:00
173709,4,2011-10-0109:57:41.994000+02:00,2011-10-0109:58:27.038000+02:00
173709,5,2011-10-0109:57:41.994000+02:00,2011-10-0109:58:27.403000+02:00
173709,6,2011-10-0109:57:41.994000+02:00,2011-10-0110:26:42.203000+02:00
173709,7,2011-10-0109:57:41.994000+02:00,2011-10-0110:27:07.853000+02:00
173709,8,2011-10-0109:57:41.994000+02:00,2011-10-0111:40:40.141000+02:00
173709,9,2011-10-0109:57:41.994000+02:00,2011-10-0111:43:02.623000+02:00
173709,10,2011-10-0109:57:41.994000+02:00,2011-10-1017:42:24.738000+02:00
173709,11,2011-10-0109:57:41.994000+02:00,2011-10-1017:43:13.290000+02:00
173709,12,2011-10-0109:57:41.994000+02:00,2011-11-0109:15:08.331000+01:00
173709,13,2011-10-0109:57:41.994000+02:00,2011-11-0109:15:08.387000+01:00
173709,14,2011-10-0109:57:41.994000+02:00,2011-11-0109:15:09.387000+01:00
173712,1,2011-10-0109:58:29.533000+02:00,2011-10-0109:58:29.533000+02:00
173712,2,2011-10-0109:58:29.533000+02:00,2011-10-0109:58:30.533000+02:00
173712,3,2011-10-0109:58:29.533000+02:00,2011-10-0109:58:30.678000+02:00
173712,4,2011-10-0109:58:29.533000+02:00,2011-10-0109:58:44.046000+02:00
173712,5,2011-10-0109:58:29.533000+02:00,2011-10-0110:08:36.700000+02:00
173712,6,2011-10-0109:58:29.533000+02:00,2011-10-0110:10:24.737000+02:00
173712,7,2011-10-0109:58:29.533000+02:00,2011-10-0110:10:24.780000+02:00
173712,8,2011-10-0109:58:29.533000+02:00,2011-10-0110:10:25.759000+02:00
173712,9,2011-10-0109:58:29.533000+02:00,2011-10-0112:59:13.844000+02:00
173712,10,2011-10-0109:58:29.533000+02:00,2011-10-0113:03:35.216000+02:00
173712,11,2011-10-0109:58:29.533000+02:00,2011-10-0311:16:05.035000+02:00
173712,12,2011-10-0109:58:29.533000+02:00,2011-10-0311:17:29.105000+02:00
173712,13,2011-10-0109:58:29.533000+02:00,2011-10-0314:39:34.962000+02:00
173712,14,2011-10-0109:58:29.533000+02:00,2011-10-0314:42:53.820000+02:00
173712,15,2011-10-0109:58:29.533000+02:00,2011-10-0314:42:55.584000+02:00
173712,16,2011-10-0109:58:29.533000+02:00,2011-10-0314:42:56.584000+02:00
173715,1,2011-10-0109:59:09.501000+02:00,2011-10-0109:59:09.501000+02:00
173715,2,2011-10-0109:59:09.501000+02:00,2011-10-0109:59:10.501000+02:00
173715,3,2011-10-0109:59:09.501000+02:00,2011-10-0109:59:10.789000+02:00
173715,4,2011-10-0109:59:09.501000+02:00,2011-10-0109:59:42.704000+02:00
173715,5,2011-10-0109:59:09.501000+02:00,2011-10-0109:59:43.080000+02:00
173715,6,2011-10-0109:59:09.501000+02:00,2011-10-0111:44:00.187000+02:00
173715,7,2011-10-0109:59:09.501000+02:00,2011-10-0111:46:06.342000+02:00
173715,8,2011-10-0109:59:09.501000+02:00,2011-10-0112:18:51.701000+02:00
173715,9,2011-10-0109:59:09.501000+02:00,2011-10-0112:24:32.787000+02:00
173715,10,2011-10-0109:59:09.501000+02:00,2011-10-0112:30:20.556000+02:00
173715,11,2011-10-0109:59:09.501000+02:00,2011-10-0112:30:20.556000+02:00
173715,12,2011-10-0109:59:09.501000+02:00,2011-10-0112:30:21.780000+02:00
173715,13,2011-10-0109:59:09.501000+02:00,2011-10-0112:30:21.806000+02:00
173715,14,2011-10-0109:59:09.501000+02:00,2011-10-0112:30:21.896000+02:00
173715,15,2011-10-0109:59:09.501000+02:00,2011-10-0112:30:24.155000+02:00
173715,16,2011-10-0109:59:09.501000+02:00,2011-10-0816:35:18.821000+02:00
173715,17,2011-10-0109:59:09.501000+02:00,2011-10-0816:38:17.372000+02:00
173715,18,2011-10-0109:59:09.501000+02:00,2011-10-1012:53:54.726000+02:00
173715,19,2011-10-0109:59:09.501000+02:00,2011-10-1012:54:03.401000+02:00
173715,20,2011-10-0109:59:09.501000+02:00,2011-10-1012:54:03.698000+02:00
173715,21,2011-10-0109:59:09.501000+02:00,2011-10-1012:54:04.785000+02:00
173715,22,2011-10-0109:59:09.501000+02:00,2011-10-1311:00:48.597000+02:00
