File: prefix_log_2000.csv (46452 nodi)
Prova 1
CPU: 1.6% | Memory: 1245.19 MB
CPU: 1.5% | Memory: 1245.19 MB
CPU: 60.0% | Memory: 1252.74 MB
CPU: 134.4% | Memory: 1252.31 MB
CPU: 123.2% | Memory: 1233.38 MB
CPU: 109.4% | Memory: 1237.17 MB
CPU: 66.1% | Memory: 1234.98 MB
CPU: 62.5% | Memory: 1227.95 MB
CPU: 33.8% | Memory: 1227.95 MB
CPU: 59.4% | Memory: 1227.97 MB
CPU: 89.1% | Memory: 1227.97 MB
CPU: 37.5% | Memory: 1227.97 MB
CPU: 76.6% | Memory: 1227.97 MB
CPU: 36.9% | Memory: 1227.99 MB
CPU: 26.1% | Memory: 1228.00 MB
CPU: 52.3% | Memory: 1228.01 MB
CPU: 95.3% | Memory: 1228.02 MB
CPU: 110.7% | Memory: 1228.15 MB
CPU: 83.1% | Memory: 1228.16 MB
CPU: 35.9% | Memory: 1228.16 MB
CPU: 23.1% | Memory: 1228.16 MB
CPU: 61.5% | Memory: 1228.25 MB
CPU: 17.2% | Memory: 1228.25 MB
CPU: 40.6% | Memory: 1228.27 MB
CPU: 81.6% | Memory: 1228.29 MB
CPU: 34.4% | Memory: 1228.30 MB
CPU: 49.2% | Memory: 1228.34 MB
CPU: 54.7% | Memory: 1228.36 MB
CPU: 49.2% | Memory: 1228.36 MB
CPU: 60.9% | Memory: 1228.42 MB
CPU: 41.6% | Memory: 1228.42 MB
CPU: 61.5% | Memory: 1228.42 MB
CPU: 76.6% | Memory: 1228.42 MB
CPU: 50.8% | Memory: 1228.45 MB
CPU: 64.7% | Memory: 1228.46 MB
CPU: 78.1% | Memory: 1228.46 MB
CPU: 64.1% | Memory: 1228.52 MB
CPU: 89.2% | Memory: 1228.54 MB
CPU: 106.2% | Memory: 1228.55 MB
CPU: 81.5% | Memory: 1228.59 MB
CPU: 70.8% | Memory: 1228.64 MB
CPU: 84.4% | Memory: 1228.64 MB
CPU: 61.5% | Memory: 1228.66 MB
CPU: 53.1% | Memory: 1228.66 MB
CPU: 109.4% | Memory: 1228.66 MB
CPU: 50.8% | Memory: 1228.84 MB
CPU: 46.9% | Memory: 1228.85 MB
CPU: 100.0% | Memory: 1228.92 MB
CPU: 92.2% | Memory: 1229.01 MB
CPU: 168.8% | Memory: 1255.48 MB
CPU: 186.3% | Memory: 1261.31 MB
CPU: 155.3% | Memory: 1261.62 MB
CPU: 161.5% | Memory: 1252.61 MB
CPU: 112.4% | Memory: 1244.67 MB
CPU: 46.9% | Memory: 1244.69 MB
CPU: 70.3% | Memory: 1244.69 MB
CPU: 109.4% | Memory: 1244.72 MB
CPU: 77.0% | Memory: 1236.46 MB
CPU: 76.6% | Memory: 1236.46 MB
CPU: 66.1% | Memory: 1236.48 MB
CPU: 57.8% | Memory: 1236.48 MB
CPU: 71.9% | Memory: 1236.40 MB
CPU: 57.0% | Memory: 1236.41 MB
CPU: 44.6% | Memory: 1236.42 MB
CPU: 67.7% | Memory: 1236.42 MB
CPU: 53.1% | Memory: 1236.43 MB
CPU: 62.5% | Memory: 1236.43 MB
CPU: 68.8% | Memory: 1236.43 MB
CPU: 64.6% | Memory: 1236.44 MB
CPU: 81.6% | Memory: 1236.45 MB
CPU: 67.2% | Memory: 1236.45 MB
CPU: 78.1% | Memory: 1236.46 MB
