File: 2000 grafi
CPU: 7.8% | Memory: 2215.07 MB
CPU: 3.1% | Memory: 2215.07 MB
CPU: 26.6% | Memory: 2226.17 MB
CPU: 169.2% | Memory: 2233.16 MB
CPU: 306.3% | Memory: 2293.23 MB
CPU: 262.5% | Memory: 2295.97 MB
CPU: 201.6% | Memory: 2306.86 MB
CPU: 134.4% | Memory: 2297.80 MB
CPU: 153.1% | Memory: 2312.86 MB
CPU: 152.3% | Memory: 2312.90 MB
CPU: 133.9% | Memory: 2309.94 MB
CPU: 14.1% | Memory: 2298.57 MB
CPU: 43.8% | Memory: 2300.20 MB
CPU: 90.6% | Memory: 2218.91 MB
CPU: 57.8% | Memory: 2205.28 MB
CPU: 30.8% | Memory: 2212.75 MB
CPU: 34.4% | Memory: 2212.85 MB
CPU: 36.9% | Memory: 2213.61 MB
CPU: 58.4% | Memory: 2213.61 MB
CPU: 21.9% | Memory: 2214.17 MB
CPU: 32.3% | Memory: 2214.61 MB
CPU: 42.2% | Memory: 2214.61 MB
CPU: 45.3% | Memory: 2216.43 MB
CPU: 23.1% | Memory: 2217.60 MB
CPU: 29.2% | Memory: 2217.60 MB
CPU: 65.6% | Memory: 2226.57 MB
CPU: 55.4% | Memory: 2226.90 MB
CPU: 43.1% | Memory: 2226.84 MB
CPU: 34.4% | Memory: 2226.84 MB
CPU: 40.6% | Memory: 2227.40 MB
CPU: 43.1% | Memory: 2227.40 MB
CPU: 30.8% | Memory: 2227.40 MB
CPU: 33.8% | Memory: 2227.40 MB
CPU: 92.4% | Memory: 2229.84 MB
CPU: 43.8% | Memory: 2229.84 MB
CPU: 15.6% | Memory: 2229.84 MB
CPU: 28.1% | Memory: 2229.84 MB
CPU: 60.9% | Memory: 2231.73 MB
CPU: 56.9% | Memory: 2231.73 MB
CPU: 48.4% | Memory: 2233.12 MB
CPU: 47.7% | Memory: 2233.12 MB
CPU: 50.8% | Memory: 2234.13 MB
CPU: 32.8% | Memory: 2234.13 MB
CPU: 23.4% | Memory: 2234.50 MB
CPU: 23.1% | Memory: 2234.50 MB
CPU: 121.9% | Memory: 2242.41 MB
CPU: 78.4% | Memory: 2242.41 MB
