CPU: 1.5% | Memory: 1243.43 MB
CPU: 6.2% | Memory: 1243.43 MB
CPU: 126.1% | Memory: 1249.29 MB
CPU: 175.3% | Memory: 1251.53 MB
CPU: 168.8% | Memory: 1250.98 MB
CPU: 172.8% | Memory: 1253.64 MB
CPU: 65.6% | Memory: 1249.18 MB
CPU: 146.9% | Memory: 1249.21 MB
CPU: 101.6% | Memory: 1249.21 MB
CPU: 90.6% | Memory: 1245.61 MB
CPU: 96.9% | Memory: 1240.44 MB
CPU: 100.0% | Memory: 1240.50 MB
CPU: 104.6% | Memory: 1240.54 MB
CPU: 64.1% | Memory: 1241.76 MB
CPU: 100.1% | Memory: 1273.84 MB
CPU: 67.2% | Memory: 1273.88 MB
CPU: 101.5% | Memory: 1273.87 MB
CPU: 66.1% | Memory: 1274.07 MB
CPU: 79.7% | Memory: 1274.07 MB
CPU: 106.2% | Memory: 1274.07 MB
CPU: 70.7% | Memory: 1274.07 MB
CPU: 68.8% | Memory: 1274.05 MB
CPU: 92.4% | Memory: 1263.68 MB
CPU: 73.4% | Memory: 1263.68 MB
CPU: 89.2% | Memory: 1263.69 MB
CPU: 110.7% | Memory: 1263.69 MB
CPU: 65.6% | Memory: 1263.67 MB
CPU: 73.4% | Memory: 1263.87 MB
CPU: 112.4% | Memory: 1246.27 MB
CPU: 56.9% | Memory: 1246.27 MB
CPU: 56.2% | Memory: 1246.27 MB
CPU: 107.7% | Memory: 1246.28 MB
CPU: 58.5% | Memory: 1246.29 MB
CPU: 54.7% | Memory: 1246.29 MB
CPU: 127.6% | Memory: 1241.10 MB
CPU: 73.4% | Memory: 1241.10 MB
CPU: 56.1% | Memory: 1241.10 MB
CPU: 85.9% | Memory: 1241.20 MB
CPU: 70.8% | Memory: 1241.20 MB
CPU: 87.7% | Memory: 1241.21 MB
CPU: 68.8% | Memory: 1241.23 MB
CPU: 86.1% | Memory: 1241.23 MB
CPU: 92.4% | Memory: 1241.23 MB
CPU: 61.5% | Memory: 1241.24 MB
CPU: 60.9% | Memory: 1241.25 MB
CPU: 164.1% | Memory: 1241.32 MB
CPU: 186.2% | Memory: 1265.18 MB
CPU: 179.7% | Memory: 1261.23 MB
CPU: 175.0% | Memory: 1270.89 MB
CPU: 138.5% | Memory: 1262.98 MB
CPU: 60.0% | Memory: 1253.93 MB
CPU: 86.1% | Memory: 1253.93 MB
CPU: 92.4% | Memory: 1253.93 MB
CPU: 56.2% | Memory: 1253.94 MB
CPU: 129.7% | Memory: 1245.29 MB
CPU: 67.7% | Memory: 1245.30 MB
CPU: 81.6% | Memory: 1245.30 MB
CPU: 87.5% | Memory: 1245.31 MB
CPU: 101.6% | Memory: 1245.31 MB
CPU: 81.5% | Memory: 1245.31 MB
CPU: 79.7% | Memory: 1245.31 MB
CPU: 50.8% | Memory: 1245.19 MB
CPU: 55.4% | Memory: 1245.19 MB
CPU: 59.4% | Memory: 1245.19 MB
CPU: 71.9% | Memory: 1245.19 MB
CPU: 64.6% | Memory: 1245.19 MB
CPU: 63.1% | Memory: 1245.20 MB
CPU: 65.6% | Memory: 1245.21 MB
CPU: 76.6% | Memory: 1245.21 MB
CPU: 73.9% | Memory: 1245.28 MB
CPU: 57.8% | Memory: 1245.29 MB
CPU: 72.3% | Memory: 1245.30 MB
CPU: 61.6% | Memory: 1245.30 MB
CPU: 82.8% | Memory: 1245.30 MB
CPU: 54.7% | Memory: 1245.30 MB
CPU: 53.8% | Memory: 1245.30 MB
CPU: 50.8% | Memory: 1245.30 MB
CPU: 50.0% | Memory: 1245.30 MB
CPU: 46.9% | Memory: 1245.31 MB
CPU: 60.0% | Memory: 1245.31 MB
CPU: 62.5% | Memory: 1245.31 MB
CPU: 96.9% | Memory: 1245.31 MB
CPU: 61.6% | Memory: 1245.32 MB
CPU: 57.8% | Memory: 1245.32 MB
CPU: 79.7% | Memory: 1245.32 MB
CPU: 84.4% | Memory: 1245.33 MB
CPU: 89.1% | Memory: 1243.36 MB
CPU: 93.9% | Memory: 1243.36 MB
CPU: 83.0% | Memory: 1243.36 MB
CPU: 87.5% | Memory: 1243.37 MB
CPU: 73.4% | Memory: 1243.37 MB
CPU: 86.1% | Memory: 1243.37 MB
CPU: 79.7% | Memory: 1243.37 MB
CPU: 63.1% | Memory: 1243.37 MB
CPU: 84.4% | Memory: 1243.37 MB
CPU: 100.0% | Memory: 1243.37 MB
CPU: 85.9% | Memory: 1243.38 MB
CPU: 75.0% | Memory: 1243.39 MB
CPU: 44.6% | Memory: 1243.39 MB
CPU: 57.8% | Memory: 1243.39 MB
CPU: 42.2% | Memory: 1243.39 MB
CPU: 78.1% | Memory: 1245.77 MB
CPU: 178.4% | Memory: 1246.62 MB
CPU: 98.4% | Memory: 1246.70 MB
CPU: 92.2% | Memory: 1246.70 MB
CPU: 112.3% | Memory: 1246.65 MB
CPU: 120.1% | Memory: 1246.99 MB
CPU: 87.5% | Memory: 1247.14 MB
CPU: 76.6% | Memory: 1247.14 MB
CPU: 75.0% | Memory: 1247.14 MB
CPU: 86.1% | Memory: 1247.14 MB
CPU: 75.4% | Memory: 1247.14 MB
CPU: 56.2% | Memory: 1247.14 MB
CPU: 86.1% | Memory: 1247.14 MB
CPU: 52.3% | Memory: 1247.14 MB
CPU: 69.2% | Memory: 1247.14 MB
CPU: 92.2% | Memory: 1247.14 MB
CPU: 92.3% | Memory: 1247.14 MB
CPU: 87.5% | Memory: 1247.14 MB
CPU: 90.8% | Memory: 1247.15 MB
CPU: 143.7% | Memory: 1255.86 MB
CPU: 138.4% | Memory: 1255.86 MB
CPU: 73.4% | Memory: 1249.35 MB
CPU: 42.2% | Memory: 1249.35 MB
CPU: 36.9% | Memory: 1248.00 MB
CPU: 30.8% | Memory: 1248.00 MB
CPU: 89.1% | Memory: 1248.00 MB
CPU: 64.1% | Memory: 1248.00 MB
CPU: 56.2% | Memory: 1248.01 MB
CPU: 64.7% | Memory: 1248.01 MB
CPU: 59.4% | Memory: 1248.01 MB
CPU: 51.6% | Memory: 1248.01 MB
CPU: 52.3% | Memory: 1248.01 MB
CPU: 62.5% | Memory: 1248.01 MB
CPU: 73.9% | Memory: 1248.01 MB
CPU: 78.1% | Memory: 1248.01 MB
CPU: 87.5% | Memory: 1248.01 MB
CPU: 65.6% | Memory: 1248.01 MB
CPU: 63.1% | Memory: 1248.01 MB
CPU: 57.8% | Memory: 1248.01 MB
CPU: 67.7% | Memory: 1248.01 MB
CPU: 56.9% | Memory: 1248.01 MB
CPU: 56.2% | Memory: 1248.02 MB
CPU: 79.7% | Memory: 1248.02 MB
CPU: 70.3% | Memory: 1248.02 MB
CPU: 75.4% | Memory: 1248.02 MB
CPU: 92.2% | Memory: 1248.02 MB
CPU: 79.7% | Memory: 1248.02 MB
CPU: 64.1% | Memory: 1248.02 MB
CPU: 84.4% | Memory: 1248.02 MB
CPU: 63.1% | Memory: 1248.02 MB
CPU: 76.9% | Memory: 1248.03 MB
CPU: 70.3% | Memory: 1248.08 MB
CPU: 64.1% | Memory: 1248.08 MB
CPU: 66.2% | Memory: 1248.08 MB
CPU: 59.4% | Memory: 1248.08 MB
CPU: 67.7% | Memory: 1248.08 MB
CPU: 69.3% | Memory: 1248.08 MB
CPU: 60.9% | Memory: 1248.08 MB
CPU: 49.2% | Memory: 1248.08 MB
CPU: 69.2% | Memory: 1248.08 MB
CPU: 66.2% | Memory: 1248.09 MB
CPU: 50.0% | Memory: 1248.09 MB
CPU: 33.8% | Memory: 1248.09 MB
CPU: 50.8% | Memory: 1248.09 MB
CPU: 77.0% | Memory: 1248.23 MB
CPU: 78.1% | Memory: 1248.14 MB
CPU: 75.0% | Memory: 1248.21 MB
CPU: 55.4% | Memory: 1248.21 MB
CPU: 64.1% | Memory: 1248.21 MB
CPU: 78.1% | Memory: 1248.21 MB
CPU: 81.6% | Memory: 1248.21 MB
CPU: 67.2% | Memory: 1248.21 MB
CPU: 101.6% | Memory: 1248.21 MB
CPU: 80.0% | Memory: 1248.21 MB
CPU: 50.8% | Memory: 1248.22 MB
CPU: 52.3% | Memory: 1248.22 MB
CPU: 59.4% | Memory: 1248.22 MB
CPU: 55.4% | Memory: 1248.22 MB
CPU: 61.5% | Memory: 1248.22 MB
CPU: 70.8% | Memory: 1248.22 MB
CPU: 60.0% | Memory: 1248.22 MB
CPU: 62.5% | Memory: 1248.22 MB
CPU: 44.6% | Memory: 1248.22 MB
CPU: 37.5% | Memory: 1248.22 MB
CPU: 52.3% | Memory: 1248.24 MB
CPU: 75.4% | Memory: 1248.24 MB
CPU: 78.1% | Memory: 1248.24 MB
CPU: 78.5% | Memory: 1248.24 MB
CPU: 53.1% | Memory: 1248.24 MB
CPU: 71.9% | Memory: 1248.24 MB
CPU: 72.3% | Memory: 1248.24 MB
CPU: 87.5% | Memory: 1248.24 MB
CPU: 70.7% | Memory: 1248.24 MB
CPU: 82.8% | Memory: 1248.24 MB
CPU: 98.5% | Memory: 1243.54 MB
CPU: 84.4% | Memory: 1243.54 MB
CPU: 100.0% | Memory: 1243.54 MB
CPU: 78.5% | Memory: 1243.54 MB
CPU: 71.9% | Memory: 1243.55 MB
CPU: 60.0% | Memory: 1243.55 MB
CPU: 67.7% | Memory: 1243.55 MB
CPU: 56.2% | Memory: 1243.55 MB
CPU: 83.1% | Memory: 1243.61 MB
CPU: 45.3% | Memory: 1243.61 MB
CPU: 56.9% | Memory: 1243.61 MB
CPU: 80.0% | Memory: 1243.61 MB
CPU: 72.4% | Memory: 1243.61 MB
CPU: 72.3% | Memory: 1243.61 MB
CPU: 90.6% | Memory: 1243.61 MB
CPU: 57.0% | Memory: 1243.61 MB
CPU: 83.0% | Memory: 1243.61 MB
CPU: 54.7% | Memory: 1243.61 MB
CPU: 69.2% | Memory: 1243.61 MB
CPU: 59.4% | Memory: 1243.61 MB
CPU: 77.0% | Memory: 1243.61 MB
CPU: 72.3% | Memory: 1243.62 MB
CPU: 76.6% | Memory: 1243.62 MB
CPU: 70.3% | Memory: 1243.62 MB
CPU: 67.7% | Memory: 1243.62 MB
CPU: 48.4% | Memory: 1243.62 MB
CPU: 63.1% | Memory: 1243.62 MB
CPU: 81.6% | Memory: 1243.62 MB
CPU: 50.8% | Memory: 1243.62 MB
CPU: 72.3% | Memory: 1243.62 MB
CPU: 121.6% | Memory: 1243.63 MB
CPU: 65.6% | Memory: 1243.63 MB
CPU: 58.4% | Memory: 1243.63 MB
CPU: 64.1% | Memory: 1243.63 MB
CPU: 56.2% | Memory: 1243.63 MB
CPU: 64.7% | Memory: 1243.63 MB
CPU: 53.8% | Memory: 1243.63 MB
CPU: 66.2% | Memory: 1243.63 MB
CPU: 76.9% | Memory: 1243.63 MB
CPU: 60.9% | Memory: 1243.63 MB
CPU: 81.5% | Memory: 1243.63 MB
CPU: 75.0% | Memory: 1243.63 MB
CPU: 70.8% | Memory: 1243.63 MB
CPU: 72.3% | Memory: 1243.63 MB
CPU: 75.4% | Memory: 1243.64 MB
CPU: 55.4% | Memory: 1243.64 MB
CPU: 46.9% | Memory: 1243.64 MB
CPU: 55.4% | Memory: 1243.64 MB
CPU: 73.4% | Memory: 1243.64 MB
CPU: 103.0% | Memory: 1243.64 MB
CPU: 98.5% | Memory: 1239.80 MB
CPU: 64.6% | Memory: 1239.80 MB
CPU: 100.0% | Memory: 1239.80 MB
CPU: 28.1% | Memory: 1239.80 MB
CPU: 57.0% | Memory: 1239.80 MB
CPU: 50.8% | Memory: 1239.86 MB
CPU: 66.2% | Memory: 1239.87 MB
CPU: 107.8% | Memory: 1239.87 MB
CPU: 100.0% | Memory: 1239.87 MB
CPU: 100.0% | Memory: 1239.88 MB
CPU: 96.9% | Memory: 1239.96 MB
CPU: 87.5% | Memory: 1239.96 MB
CPU: 73.9% | Memory: 1239.96 MB
CPU: 103.1% | Memory: 1240.02 MB
CPU: 66.1% | Memory: 1240.02 MB
CPU: 51.6% | Memory: 1240.03 MB
CPU: 40.0% | Memory: 1240.03 MB
CPU: 46.2% | Memory: 1240.03 MB
CPU: 60.9% | Memory: 1240.03 MB
CPU: 72.3% | Memory: 1240.04 MB
CPU: 63.1% | Memory: 1240.04 MB
CPU: 35.4% | Memory: 1240.04 MB
CPU: 44.6% | Memory: 1240.04 MB
CPU: 54.7% | Memory: 1240.04 MB
CPU: 36.9% | Memory: 1240.04 MB
CPU: 42.2% | Memory: 1240.04 MB
CPU: 52.3% | Memory: 1240.04 MB
CPU: 24.6% | Memory: 1240.04 MB
CPU: 33.3% | Memory: 1240.04 MB
CPU: 57.0% | Memory: 1240.04 MB
CPU: 64.1% | Memory: 1240.04 MB
CPU: 69.2% | Memory: 1240.04 MB
CPU: 47.7% | Memory: 1240.04 MB
CPU: 40.6% | Memory: 1240.04 MB
CPU: 34.4% | Memory: 1240.04 MB
CPU: 56.2% | Memory: 1240.04 MB
CPU: 61.5% | Memory: 1240.04 MB
CPU: 87.5% | Memory: 1240.04 MB
CPU: 60.9% | Memory: 1240.04 MB
CPU: 67.2% | Memory: 1240.04 MB
CPU: 72.4% | Memory: 1240.00 MB
CPU: 52.3% | Memory: 1240.00 MB
CPU: 59.4% | Memory: 1240.00 MB
CPU: 61.6% | Memory: 1240.00 MB
CPU: 51.6% | Memory: 1240.00 MB
CPU: 54.7% | Memory: 1240.01 MB
CPU: 53.8% | Memory: 1240.01 MB
CPU: 57.0% | Memory: 1240.01 MB
CPU: 53.8% | Memory: 1240.01 MB
CPU: 60.0% | Memory: 1240.01 MB
CPU: 52.3% | Memory: 1240.01 MB
CPU: 65.6% | Memory: 1240.02 MB
CPU: 69.2% | Memory: 1240.02 MB
CPU: 66.2% | Memory: 1240.02 MB
CPU: 61.5% | Memory: 1240.02 MB
CPU: 64.1% | Memory: 1240.02 MB
CPU: 49.2% | Memory: 1240.02 MB
CPU: 53.1% | Memory: 1240.02 MB
CPU: 32.8% | Memory: 1240.02 MB
CPU: 57.8% | Memory: 1240.07 MB
CPU: 68.8% | Memory: 1240.10 MB
CPU: 50.8% | Memory: 1240.10 MB
CPU: 52.3% | Memory: 1240.10 MB
CPU: 71.9% | Memory: 1240.11 MB
CPU: 109.3% | Memory: 1244.42 MB
CPU: 139.9% | Memory: 1240.24 MB
CPU: 44.6% | Memory: 1240.24 MB
CPU: 50.8% | Memory: 1240.24 MB
CPU: 65.6% | Memory: 1240.24 MB
CPU: 57.8% | Memory: 1240.25 MB
CPU: 73.4% | Memory: 1240.25 MB
CPU: 49.3% | Memory: 1240.25 MB
CPU: 53.8% | Memory: 1240.25 MB
CPU: 53.8% | Memory: 1240.25 MB
CPU: 70.8% | Memory: 1240.25 MB
CPU: 54.7% | Memory: 1240.25 MB
CPU: 78.4% | Memory: 1240.25 MB
CPU: 53.9% | Memory: 1240.25 MB
CPU: 49.2% | Memory: 1240.25 MB
CPU: 64.6% | Memory: 1240.26 MB
CPU: 52.3% | Memory: 1240.21 MB
CPU: 67.2% | Memory: 1240.21 MB
CPU: 43.1% | Memory: 1240.21 MB
CPU: 44.6% | Memory: 1240.21 MB
CPU: 64.1% | Memory: 1240.21 MB
CPU: 58.5% | Memory: 1240.21 MB
CPU: 49.2% | Memory: 1240.21 MB
CPU: 60.0% | Memory: 1240.21 MB
CPU: 53.1% | Memory: 1240.21 MB
CPU: 60.9% | Memory: 1240.26 MB
CPU: 54.7% | Memory: 1240.26 MB
CPU: 66.1% | Memory: 1240.26 MB
CPU: 43.1% | Memory: 1240.26 MB
CPU: 52.3% | Memory: 1240.26 MB
CPU: 53.8% | Memory: 1240.26 MB
CPU: 48.4% | Memory: 1240.26 MB
CPU: 43.1% | Memory: 1240.26 MB
CPU: 33.8% | Memory: 1240.27 MB
CPU: 77.0% | Memory: 1240.27 MB
CPU: 95.3% | Memory: 1240.29 MB
CPU: 36.9% | Memory: 1240.29 MB
CPU: 44.6% | Memory: 1240.29 MB
CPU: 70.3% | Memory: 1240.29 MB
CPU: 61.6% | Memory: 1240.30 MB
CPU: 52.3% | Memory: 1240.30 MB
CPU: 75.0% | Memory: 1240.30 MB
CPU: 64.1% | Memory: 1240.30 MB
CPU: 44.6% | Memory: 1240.30 MB
CPU: 56.9% | Memory: 1240.30 MB
