CPU: 4.6% | Memory: 1678.29 MB
CPU: 3.1% | Memory: 1678.29 MB
CPU: 101.5% | Memory: 1680.23 MB
CPU: 54.7% | Memory: 1682.23 MB
CPU: 117.2% | Memory: 1683.79 MB
CPU: 148.4% | Memory: 1465.96 MB
CPU: 104.6% | Memory: 1468.14 MB
CPU: 107.8% | Memory: 1470.66 MB
CPU: 189.1% | Memory: 1377.24 MB
CPU: 210.9% | Memory: 1388.70 MB
CPU: 132.3% | Memory: 1393.23 MB
CPU: 204.5% | Memory: 1405.84 MB
CPU: 140.1% | Memory: 1406.68 MB
CPU: 138.4% | Memory: 1411.37 MB
CPU: 167.2% | Memory: 1376.23 MB
CPU: 138.4% | Memory: 1376.30 MB
CPU: 153.9% | Memory: 1376.60 MB
CPU: 144.0% | Memory: 1376.78 MB
CPU: 155.3% | Memory: 1306.18 MB
CPU: 109.4% | Memory: 1314.48 MB
CPU: 124.6% | Memory: 1315.29 MB
CPU: 132.8% | Memory: 1377.68 MB
CPU: 104.7% | Memory: 1334.50 MB
CPU: 132.3% | Memory: 1338.41 MB
CPU: 109.4% | Memory: 1336.08 MB
CPU: 109.3% | Memory: 1336.08 MB
CPU: 101.6% | Memory: 1337.10 MB
CPU: 129.7% | Memory: 1337.10 MB
CPU: 81.5% | Memory: 1337.57 MB
CPU: 126.6% | Memory: 1442.57 MB
CPU: 93.8% | Memory: 1339.06 MB
CPU: 129.3% | Memory: 1341.41 MB
CPU: 50.8% | Memory: 1341.53 MB
CPU: 118.8% | Memory: 1341.80 MB
CPU: 124.7% | Memory: 1342.96 MB
CPU: 120.0% | Memory: 1343.48 MB
CPU: 65.6% | Memory: 1345.36 MB
CPU: 115.6% | Memory: 1343.84 MB
CPU: 96.9% | Memory: 1343.84 MB
CPU: 107.8% | Memory: 1343.87 MB
CPU: 95.3% | Memory: 1343.88 MB
CPU: 121.5% | Memory: 1344.00 MB
CPU: 118.8% | Memory: 1344.00 MB
CPU: 98.5% | Memory: 1344.00 MB
CPU: 115.6% | Memory: 1344.11 MB
CPU: 92.3% | Memory: 1344.90 MB
CPU: 128.1% | Memory: 1345.57 MB
CPU: 83.0% | Memory: 1345.79 MB
CPU: 93.9% | Memory: 1345.79 MB
CPU: 78.4% | Memory: 1345.80 MB
CPU: 109.4% | Memory: 1345.80 MB
CPU: 69.3% | Memory: 1345.91 MB
CPU: 118.4% | Memory: 1346.42 MB
CPU: 83.0% | Memory: 1346.49 MB
CPU: 140.1% | Memory: 1346.59 MB
CPU: 86.1% | Memory: 1346.94 MB
CPU: 129.7% | Memory: 1347.16 MB
CPU: 123.4% | Memory: 1347.18 MB
CPU: 183.0% | Memory: 1355.13 MB
CPU: 156.2% | Memory: 1355.09 MB
CPU: 101.6% | Memory: 1355.11 MB
CPU: 129.2% | Memory: 1355.11 MB
CPU: 84.4% | Memory: 1355.11 MB
CPU: 161.6% | Memory: 1355.15 MB
CPU: 93.8% | Memory: 1355.27 MB
CPU: 128.1% | Memory: 1355.28 MB
CPU: 110.9% | Memory: 1356.04 MB
CPU: 152.3% | Memory: 1356.79 MB
CPU: 109.4% | Memory: 1356.86 MB
CPU: 187.6% | Memory: 1356.89 MB
CPU: 112.5% | Memory: 1357.68 MB
CPU: 101.6% | Memory: 1357.68 MB
CPU: 63.1% | Memory: 1357.68 MB
CPU: 131.2% | Memory: 1357.89 MB
CPU: 113.9% | Memory: 1358.66 MB
CPU: 106.1% | Memory: 1358.66 MB
CPU: 83.1% | Memory: 1358.81 MB
CPU: 65.6% | Memory: 1358.81 MB
CPU: 103.1% | Memory: 1358.82 MB
CPU: 67.2% | Memory: 1358.80 MB
CPU: 107.7% | Memory: 1358.80 MB
CPU: 62.5% | Memory: 1358.80 MB
CPU: 124.7% | Memory: 1358.80 MB
CPU: 70.7% | Memory: 1358.80 MB
CPU: 104.7% | Memory: 1358.80 MB
CPU: 116.4% | Memory: 1358.80 MB
CPU: 89.1% | Memory: 1358.80 MB
CPU: 104.7% | Memory: 1358.80 MB
CPU: 73.4% | Memory: 1358.81 MB
CPU: 85.9% | Memory: 1359.00 MB
CPU: 93.8% | Memory: 1359.01 MB
CPU: 117.2% | Memory: 1359.01 MB
CPU: 64.7% | Memory: 1359.01 MB
CPU: 112.5% | Memory: 1359.21 MB
CPU: 144.6% | Memory: 1359.28 MB
CPU: 84.6% | Memory: 1359.28 MB
CPU: 118.5% | Memory: 1359.28 MB
CPU: 79.7% | Memory: 1359.28 MB
CPU: 95.3% | Memory: 1359.28 MB
CPU: 69.2% | Memory: 1359.40 MB
CPU: 107.8% | Memory: 1359.40 MB
CPU: 57.8% | Memory: 1359.38 MB
CPU: 126.1% | Memory: 1359.34 MB
CPU: 115.3% | Memory: 1359.35 MB
CPU: 87.7% | Memory: 1359.37 MB
CPU: 139.9% | Memory: 1359.44 MB
CPU: 81.2% | Memory: 1359.44 MB
CPU: 127.6% | Memory: 1359.42 MB
CPU: 75.4% | Memory: 1359.42 MB
CPU: 135.9% | Memory: 1359.41 MB
CPU: 87.5% | Memory: 1359.41 MB
CPU: 126.2% | Memory: 1359.79 MB
CPU: 78.1% | Memory: 1359.80 MB
CPU: 129.7% | Memory: 1360.59 MB
CPU: 114.1% | Memory: 1360.59 MB
CPU: 78.1% | Memory: 1360.90 MB
CPU: 129.2% | Memory: 1360.90 MB
CPU: 71.9% | Memory: 1360.86 MB
CPU: 117.2% | Memory: 1360.90 MB
CPU: 62.5% | Memory: 1360.90 MB
CPU: 116.9% | Memory: 1360.91 MB
CPU: 120.0% | Memory: 1360.91 MB
CPU: 79.7% | Memory: 1360.91 MB
CPU: 86.2% | Memory: 1360.91 MB
CPU: 75.4% | Memory: 1360.91 MB
CPU: 82.8% | Memory: 1360.91 MB
CPU: 81.2% | Memory: 1360.91 MB
CPU: 115.3% | Memory: 1362.34 MB
CPU: 70.7% | Memory: 1362.34 MB
CPU: 73.4% | Memory: 1362.34 MB
CPU: 80.0% | Memory: 1362.34 MB
CPU: 90.6% | Memory: 1362.35 MB
CPU: 87.5% | Memory: 1362.35 MB
CPU: 110.9% | Memory: 1362.41 MB
CPU: 89.1% | Memory: 1362.41 MB
CPU: 89.3% | Memory: 1362.41 MB
CPU: 52.3% | Memory: 1362.41 MB
CPU: 63.1% | Memory: 1362.41 MB
CPU: 80.0% | Memory: 1363.46 MB
CPU: 60.0% | Memory: 1363.46 MB
CPU: 63.1% | Memory: 1363.46 MB
CPU: 89.1% | Memory: 1363.46 MB
CPU: 81.5% | Memory: 1363.46 MB
CPU: 67.7% | Memory: 1363.47 MB
CPU: 90.6% | Memory: 1363.47 MB
CPU: 101.6% | Memory: 1363.47 MB
CPU: 103.1% | Memory: 1363.48 MB
CPU: 70.3% | Memory: 1363.48 MB
CPU: 121.9% | Memory: 1363.70 MB
CPU: 90.8% | Memory: 1363.70 MB
CPU: 72.3% | Memory: 1363.70 MB
CPU: 50.8% | Memory: 1363.70 MB
CPU: 64.1% | Memory: 1363.70 MB
CPU: 75.4% | Memory: 1363.77 MB
CPU: 46.1% | Memory: 1363.77 MB
CPU: 44.6% | Memory: 1363.77 MB
CPU: 61.6% | Memory: 1363.78 MB
CPU: 56.9% | Memory: 1363.78 MB
CPU: 70.8% | Memory: 1364.06 MB
CPU: 61.5% | Memory: 1364.07 MB
CPU: 26.1% | Memory: 1364.07 MB
CPU: 36.9% | Memory: 1364.07 MB
CPU: 78.1% | Memory: 1364.07 MB
CPU: 64.6% | Memory: 1364.07 MB
CPU: 81.5% | Memory: 1364.07 MB
CPU: 62.7% | Memory: 1364.07 MB
CPU: 90.6% | Memory: 1364.07 MB
CPU: 56.9% | Memory: 1364.07 MB
CPU: 67.7% | Memory: 1364.07 MB
CPU: 58.4% | Memory: 1364.07 MB
CPU: 53.1% | Memory: 1364.07 MB
CPU: 77.0% | Memory: 1364.13 MB
CPU: 112.5% | Memory: 1364.21 MB
CPU: 67.7% | Memory: 1364.34 MB
CPU: 67.7% | Memory: 1364.34 MB
CPU: 46.1% | Memory: 1364.54 MB
CPU: 62.5% | Memory: 1364.62 MB
CPU: 41.5% | Memory: 1364.75 MB
CPU: 55.4% | Memory: 1364.81 MB
CPU: 44.6% | Memory: 1364.89 MB
CPU: 62.5% | Memory: 1364.90 MB
CPU: 82.8% | Memory: 1364.99 MB
CPU: 92.4% | Memory: 1365.05 MB
CPU: 53.8% | Memory: 1365.13 MB
CPU: 55.4% | Memory: 1365.18 MB
CPU: 70.7% | Memory: 1365.18 MB
CPU: 95.3% | Memory: 1365.18 MB
CPU: 129.3% | Memory: 1366.47 MB
CPU: 73.4% | Memory: 1366.47 MB
CPU: 80.0% | Memory: 1366.48 MB
CPU: 78.1% | Memory: 1366.48 MB
CPU: 98.5% | Memory: 1366.48 MB
CPU: 87.7% | Memory: 1366.55 MB
CPU: 95.3% | Memory: 1366.56 MB
CPU: 75.4% | Memory: 1366.57 MB
CPU: 92.2% | Memory: 1366.57 MB
CPU: 67.7% | Memory: 1366.58 MB
CPU: 38.4% | Memory: 1366.58 MB
CPU: 41.6% | Memory: 1366.59 MB
CPU: 68.8% | Memory: 1366.60 MB
CPU: 73.8% | Memory: 1366.60 MB
CPU: 49.2% | Memory: 1366.60 MB
CPU: 81.2% | Memory: 1366.60 MB
CPU: 55.4% | Memory: 1366.17 MB
CPU: 84.4% | Memory: 1366.17 MB
CPU: 95.3% | Memory: 1367.22 MB
CPU: 64.7% | Memory: 1367.22 MB
CPU: 83.0% | Memory: 1367.23 MB
CPU: 68.8% | Memory: 1367.23 MB
CPU: 64.6% | Memory: 1367.23 MB
CPU: 90.6% | Memory: 1367.23 MB
CPU: 64.1% | Memory: 1367.23 MB
CPU: 134.4% | Memory: 1369.04 MB
CPU: 87.7% | Memory: 1369.05 MB
CPU: 73.8% | Memory: 1369.05 MB
CPU: 40.0% | Memory: 1369.05 MB
CPU: 53.8% | Memory: 1369.05 MB
CPU: 76.6% | Memory: 1369.05 MB
CPU: 60.9% | Memory: 1369.05 MB
CPU: 71.9% | Memory: 1369.05 MB
CPU: 64.1% | Memory: 1369.06 MB
CPU: 57.8% | Memory: 1369.06 MB
CPU: 43.8% | Memory: 1369.07 MB
CPU: 47.7% | Memory: 1369.07 MB
CPU: 49.3% | Memory: 1369.07 MB
CPU: 81.2% | Memory: 1369.34 MB
CPU: 43.8% | Memory: 1369.34 MB
CPU: 45.3% | Memory: 1369.34 MB
CPU: 35.4% | Memory: 1369.34 MB
CPU: 62.5% | Memory: 1369.34 MB
CPU: 41.5% | Memory: 1369.34 MB
CPU: 66.2% | Memory: 1369.34 MB
CPU: 90.6% | Memory: 1369.33 MB
CPU: 58.4% | Memory: 1369.33 MB
CPU: 60.0% | Memory: 1369.34 MB
CPU: 64.6% | Memory: 1370.88 MB
CPU: 65.6% | Memory: 1370.88 MB
CPU: 50.8% | Memory: 1370.89 MB
CPU: 58.5% | Memory: 1370.89 MB
CPU: 32.8% | Memory: 1371.15 MB
CPU: 70.3% | Memory: 1371.15 MB
CPU: 38.5% | Memory: 1371.16 MB
CPU: 47.7% | Memory: 1371.23 MB
CPU: 75.4% | Memory: 1371.23 MB
CPU: 53.1% | Memory: 1371.23 MB
CPU: 60.0% | Memory: 1371.23 MB
CPU: 52.3% | Memory: 1371.23 MB
CPU: 110.7% | Memory: 1372.82 MB
CPU: 81.2% | Memory: 1372.82 MB
CPU: 44.6% | Memory: 1372.82 MB
CPU: 56.9% | Memory: 1372.83 MB
CPU: 69.3% | Memory: 1372.83 MB
CPU: 173.8% | Memory: 1381.18 MB
CPU: 101.5% | Memory: 1377.63 MB
CPU: 47.7% | Memory: 1377.63 MB
CPU: 47.7% | Memory: 1377.63 MB
CPU: 72.3% | Memory: 1377.64 MB
CPU: 41.6% | Memory: 1377.64 MB
CPU: 67.7% | Memory: 1377.61 MB
CPU: 79.7% | Memory: 1377.61 MB
CPU: 57.8% | Memory: 1377.61 MB
CPU: 62.5% | Memory: 1377.62 MB
CPU: 63.1% | Memory: 1377.62 MB
CPU: 61.6% | Memory: 1377.62 MB
CPU: 49.2% | Memory: 1378.72 MB
CPU: 60.9% | Memory: 1378.72 MB
CPU: 42.2% | Memory: 1378.72 MB
CPU: 46.1% | Memory: 1378.88 MB
CPU: 78.5% | Memory: 1378.90 MB
CPU: 75.4% | Memory: 1378.90 MB
CPU: 65.6% | Memory: 1378.90 MB
CPU: 47.7% | Memory: 1378.91 MB
CPU: 167.2% | Memory: 1383.52 MB
CPU: 146.1% | Memory: 1384.94 MB
CPU: 96.9% | Memory: 1380.84 MB
CPU: 47.7% | Memory: 1380.84 MB
CPU: 38.5% | Memory: 1380.84 MB
CPU: 54.7% | Memory: 1380.84 MB
CPU: 78.1% | Memory: 1380.84 MB
CPU: 64.6% | Memory: 1380.84 MB
CPU: 59.4% | Memory: 1380.84 MB
CPU: 58.4% | Memory: 1380.93 MB
CPU: 44.6% | Memory: 1380.93 MB
CPU: 60.0% | Memory: 1380.93 MB
CPU: 53.9% | Memory: 1380.93 MB
CPU: 70.7% | Memory: 1380.93 MB
CPU: 46.3% | Memory: 1380.94 MB
CPU: 50.8% | Memory: 1380.94 MB
CPU: 56.2% | Memory: 1380.95 MB
CPU: 62.5% | Memory: 1380.95 MB
CPU: 47.7% | Memory: 1380.95 MB
CPU: 82.8% | Memory: 1381.14 MB
CPU: 81.6% | Memory: 1381.16 MB
