e_v,start_time,resource,track_id,event_name,finish_time,node1,node2
,,,,,,,
XP,,,,,,,
v,2011-10-0108:11:07.000000000+00:00,No_resource,173697,START,2011-10-0108:11:07.000000000+00:00,1,
,,,,,,,
XP,,,,,,,
v,2011-10-0108:15:38.000000000+00:00,No_resource,173700,START,2011-10-0108:15:38.000000000+00:00,1,
,,,,,,,
XP,,,,,,,
v,2011-10-0109:45:24.000000000+00:00,No_resource,173703,START,2011-10-0109:45:24.000000000+00:00,1,
,,,,,,,
XP,,,,,,,
v,2011-10-0109:45:36.000000000+00:00,No_resource,173706,START,2011-10-0109:45:36.000000000+00:00,1,
,,,,,,,
XP,,,,,,,
v,2011-10-0109:57:41.000000000+00:00,No_resource,173709,START,2011-10-0109:57:41.000000000+00:00,1,
,,,,,,,
XP,,,,,,,
v,2011-10-0109:58:29.000000000+00:00,No_resource,173712,START,2011-10-0109:58:29.000000000+00:00,1,
,,,,,,,
XP,,,,,,,
v,2011-10-0109:59:09.000000000+00:00,No_resource,173715,START,2011-10-0109:59:09.000000000+00:00,1,
,,,,,,,
XP,,,,,,,
v,2011-10-0110:37:38.000000000+00:00,No_resource,173718,START,2011-10-0110:37:38.000000000+00:00,1,
,,,,,,,
XP,,,,,,,
v,2011-10-0111:07:33.000000000+00:00,No_resource,173721,START,2011-10-0111:07:33.000000000+00:00,1,
,,,,,,,
XP,,,,,,,
v,2011-10-0111:52:13.000000000+00:00,No_resource,173724,START,2011-10-0111:52:13.000000000+00:00,1,
,,,,,,,
XP,,,,,,,
v,2011-10-0112:08:45.000000000+00:00,No_resource,173727,START,2011-10-0112:08:45.000000000+00:00,1,
,,,,,,,
XP,,,,,,,
v,2011-10-0112:36:07.000000000+00:00,No_resource,173730,START,2011-10-0112:36:07.000000000+00:00,1,
,,,,,,,
XP,,,,,,,
v,2011-10-0112:39:33.000000000+00:00,No_resource,173733,START,2011-10-0112:39:33.000000000+00:00,1,
,,,,,,,
XP,,,,,,,
v,2011-10-0113:01:57.000000000+00:00,No_resource,173736,START,2011-10-0113:01:57.000000000+00:00,1,
,,,,,,,
XP,,,,,,,
v,2011-10-0113:12:57.000000000+00:00,No_resource,173739,START,2011-10-0113:12:57.000000000+00:00,1,
,,,,,,,
XP,,,,,,,
v,2011-10-0113:44:11.000000000+00:00,No_resource,173742,START,2011-10-0113:44:11.000000000+00:00,1,
,,,,,,,
XP,,,,,,,
v,2011-10-0114:08:15.000000000+00:00,No_resource,173745,START,2011-10-0114:08:15.000000000+00:00,1,
,,,,,,,
XP,,,,,,,
v,2011-10-0114:09:15.000000000+00:00,No_resource,173748,START,2011-10-0114:09:15.000000000+00:00,1,
,,,,,,,
XP,,,,,,,
v,2011-10-0114:14:38.000000000+00:00,No_resource,173751,START,2011-10-0114:14:38.000000000+00:00,1,
,,,,,,,
XP,,,,,,,
v,2011-10-0114:50:08.000000000+00:00,No_resource,173754,START,2011-10-0114:50:08.000000000+00:00,1,
,,,,,,,
XP,,,,,,,
